"pack_id","app_id","app_title","created","app_info"
"rhgf","rhgf.nomina","Nóminas",2024-01-02T11:40:59,"Lista de Nóminas"
"rhgf","rhgf.variable","Variables y fórmulas",2024-01-02T11:40:59,"Variables y fórmulas"
"rhgf","rhgf.tipo-contrato","Tipo de contratos",2024-01-02T11:40:59,"Tipos de contratos"
"rhgf","rhgf.concepto-nomina","Conceptos de cálculo Nóminas",2024-01-02T11:40:59,"Conceptos de cálculo Nóminas"
"rhgf","rhgf.tablas","Tablas de cálculos fiscales",2024-01-02T11:40:59,"Tablas de cálculos fiscales"
"rhgf","rhgf.grupos-conceptos","Grupos de conceptos de Nómina",2024-01-02T11:40:59,"Grupos de conceptos de Nómina"
"rhgf","rhgf.tipo-nomina","Tipos de nóminas",2024-01-02T11:40:59,"Tipos de nóminas"
"rhgf","rhgf.empleados","Empleados","2024-01-06T23:59:59","Catálogo de empleados"
"rhgf","rhgf.organizacion","Estructura organizacional","2024-01-08T23:59:59","Estructura organizacional"
"rhgf","rhgf.calendario","Calendarios laborables",2024-01-18T02:10:59,"Calendarios laborables"
"rhgf","rhgf.turno","Turnos de trabajos",2024-01-18T02:10:59,"Turnos de trabajos"
"rhgf","rhgf.categoria-empleado","Categorías de empleados",2024-01-18T12:10:59,"Categorías de empleados"
"rhgf","rhgf.acceso-empleado","Accesos de empleados",2024-01-19T12:10:59,"Accesos de empleados"
"rhgf","rhgf.acceso-evento","Tipos de eventos de acceso de empleados",2024-01-19T12:10:59,"Tipos de eventos de acceso de empleados"
"rhgf","rhgf.turno-extra","Turnos extraordinarios",2024-01-20T11:30:59,"turnos extraordinarios"
"rhgf","rhgf.periodo-asistencia","Periodos de asistencia",2024-01-20T11:30:59,"periodos de asistencia"
"rhgf","rhgf.tipo-permiso","Tipos de Justificación",2024-01-20T11:30:59,"Tipos de Justificación"
"rhgf","rhgf.permisos","Justificación",2024-01-20T11:30:59,"Justificación"
"rhgf","rhgf.asistencia","Asistencias",2024-01-20T11:30:59,"Asistencias"
"rhgf","rhgf.tipo-incidencia","Incidencias",2024-01-20T11:30:59,"Asistencias"
