"id","title","shorttitle","icon16x16","href","_blank","appid","itemtype","req_context_item_id","act_type"

"HA12","Editar nomina","Editar","","/!/rhgf/nomina/@_src_context_item_id/","0","rhgf.nomina","DET032","1","action"
"HA13","Eliminar nomina","Eliminar","","javascript:InduxsoftCrudlModel.Delete(@_src_context_item_id);","0","rhgf.nomina","DET032","1","action"

"HA21","Agregar variable","Agregar","","/!/rhgf/variable/_new/","0","rhgf.variable","DET064","0","action"
"HA22","Editar variable","Editar","","/!/rhgf/variable/@_src_context_item_id/","0","rhgf.variable","DET064","1","action"
"HA23","Eliminar variable","Eliminar","","javascript:InduxsoftCrudlModel.Delete(@_src_context_item_id);","0","rhgf.variable","DET064","1","action"

"HA31","Agregar tipo de contrato","Agregar","","/!/rhgf/tipo-contrato/_new/","0","rhgf.tipo-contrato","DET055","0","action"
"HA32","Editar tipo de contrato","Editar","","/!/rhgf/tipo-contrato/@_src_context_item_id/","0","rhgf.tipo-contrato","DET055","1","action"
"HA33","Eliminar tipo de contrato","Eliminar","","javascript:InduxsoftCrudlModel.Delete(@_src_context_item_id);","0","rhgf.tipo-contrato","DET055","1","action"

"HA41","Agregar concepto de cálculo","Agregar","","/!/rhgf/concepto-nomina/_new/","0","rhgf.concepto-nomina","DET017","0","action"
"HA42","Editar concepto de cálculo","Editar","","/!/rhgf/concepto-nomina/@_src_context_item_id/","0","rhgf.concepto-nomina","DET017","1","action"
"HA43","Eliminar concepto de cálculo","Eliminar","","javascript:InduxsoftCrudlModel.Delete(@_src_context_item_id);","0","rhgf.concepto-nomina","DET017","1","action"

"HA53","Eliminar tabla de cálculo","Eliminar","","javascript:InduxsoftCrudlModel.Delete(@_src_context_item_id);","0","rhgf.tablas","DET04D","1","action"

"HA61","Agregar grupo de concepto de nomina","Agregar","","/!/rhgf/grupos-conceptos/_new/","0","rhgf.grupos-conceptos","DET025","0","action"
"HA62","Editar grupo de concepto de nómina","Editar","","/!/rhgf/grupos-conceptos/@_src_context_item_id/","0","rhgf.grupos-conceptos","DET025","1","action"
"HA63","Eliminar grupo de concepto de nómina","Eliminar","","javascript:InduxsoftCrudlModel.Delete(@_src_context_item_id);","0","rhgf.grupos-conceptos","DET025","1","action"

"HA71","Agregar tipo de nomina","Agregar","","/!/rhgf/tipo-nomina/_new/","0","rhgf.tipo-nomina","DET058","0","action"
"HA71","Editar tipo de nomina","Editar","","/!/rhgf/tipo-nomina/@_src_context_item_id/","0","rhgf.tipo-nomina","DET058","1","action"
"HA71","Eliminar tipo de nomina","Eliminar","","javascript:InduxsoftCrudlModel.Delete(@_src_context_item_id);","0","rhgf.tipo-nomina","DET058","1","action"

"HA81","Agregar empleado","Agregar","","/!/rhgf/empleados/_new/","0","rhgf.empleados","DET022","0","action"
"HA82","Editar empleado","Editar","","/!/rhgf/empleados/@_src_context_item_id/","0","rhgf.empleados","DET022","1","action"
"HA83","Eliminar empleado","Agregar","","javascript:InduxsoftCrudlModel.Delete(@_src_context_item_id);","0","rhgf.empleados","DET022","1","action"

"HA91","Agregar unidad organizacional","Agregar","","/!/rhgf/organizacion/_new/unidad/","0","rhgf.organizacion","DET060","0","action"
"HA92","Editar unidad organizacional","Editar","","/!/rhgf/organizacion/@_src_context_item_id/unidad/","0","rhgf.organizacion","DET060","1","action"
"HA94","Agregar puesto de trabajo","Agregar","","/!/rhgf/organizacion/_new/puesto/","0","rhgf.organizacion","DET044","0","action"
"HA95","Editar puesto de trabajo","Editar","","/!/rhgf/organizacion/@_src_context_item_id/puesto/","0","rhgf.organizacion","DET044","1","action"
"HA97","Agregar contrato","Agregar","","/!/rhgf/organizacion/_new/","0","rhgf.organizacion","DET069","0","action"
"HA98","Editar contrato","Editar","","/!/rhgf/organizacion/@_src_context_item_id/","0","rhgf.organizacion","DET069","1","action"

"HA101","Agregar calendario laboral","Agregar","","/!/rhgf/calendario/_new/","0","rhgf.calendario","DET00A","0","action"
"HA102","Editar calendario laboral","Editar","","/!/rhgf/calendario/@_src_context_item_id/","0","rhgf.calendario","DET00A","1","action"
"HA103","Eliminar calendario laboral","Eliminar","","javascript:InduxsoftCrudlModel.Delete(@_src_context_item_id);","0","rhgf.calendario","DET00A","1","action"

"HA111","Agregar turno de trabajo","Agregar","","/!/rhgf/turno/_new/","0","rhgf.turno","DET05E","0","action"
"HA112","Editar turno de trabajo","Editar","","/!/rhgf/turno/@_src_context_item_id/","0","rhgf.turno","DET05E","1","action"
"HA113","Eliminar turno de trabajo","Eliminar","","javascript:InduxsoftCrudlModel.Delete(@_src_context_item_id);","0","rhgf.turno","DET05E","1","action"

"HA121","Agregar categoria de empleado","Agregar","","/!/rhgf/categoria-empleado/_new/","0","rhgf.categoria-empleado","DET00F","0","action"
"HA122","Editar categoria de empleado","Editar","","/!/rhgf/categoria-empleado/@_src_context_item_id/","0","rhgf.categoria-empleado","DET00F","1","action"
"HA123","Eliminar categoria de empleado","Eliminar","","javascript:InduxsoftCrudlModel.Delete(@_src_context_item_id);","0","rhgf.categoria-empleado","DET00F","1","action"

"HA131","Agregar acceso de empleado","Agregar","","/!/rhgf/acceso-empleado/_new/","0","rhgf.acceso-empleado","DET047","0","action"
"HA132","Editar acceso de empleado","Editar","","/!/rhgf/acceso-empleado/@_src_context_item_id/","0","rhgf.acceso-empleado","DET047","1","action"
"HA133","Eliminar acceso de empleado","Eliminar","","javascript:InduxsoftCrudlModel.Delete(@_src_context_item_id);","0","rhgf.acceso-empleado","DET047","1","action"

"HA141","Agregar tipo de eventos de acceso","Agregar","","/!/rhgf/acceso-evento/_new/","0","rhgf.acceso-evento","DET056","0","action"
"HA142","Editar tipo de eventos de acceso","Editar","","/!/rhgf/acceso-evento/@_src_context_item_id/","0","rhgf.acceso-evento","DET056","1","action"
"HA143","Eliminar tipo de eventos de acceso","Eliminar","","javascript:InduxsoftCrudlModel.Delete(@_src_context_item_id);","0","rhgf.acceso-evento","DET056","1","action"

"HA151","Agregar turno extraordinario","Agregar","","/!/rhgf/turno-extra/_new/","0","rhgf.turno-extra","DET05F","0","action"
"HA152","Editar turno extraordinario","Editar","","/!/rhgf/turno-extra/@_src_context_item_id/","0","rhgf.turno-extra","DET05F","1","action"
"HA153","Eliminar turno extraordinario","Eliminar","","javascript:InduxsoftCrudlModel.Delete(@_src_context_item_id);","0","rhgf.turno-extra","DET05F","1","action"

"HA161","Agregar periodo de asistencia","Agregar","","/!/rhgf/periodo-asistencia/_new/","0","rhgf.periodo-asistencia","DET037","0","action"
"HA162","Ver periodo de asistencia","Ver","","/!/rhgf/periodo-asistencia/@_src_context_item_id/","0","rhgf.periodo-asistencia","DET037","1","action"
"HA163","Eliminar periodo de asistencia","Eliminar","","javascript:InduxsoftCrudlModel.Delete(@_src_context_item_id);","0","rhgf.periodo-asistencia","DET037","1","action"

"HA171","Agregar tipo de justificación","Agregar","","/!/rhgf/tipo-permiso/_new/","0","rhgf.tipo-permiso","DET059","0","action"
"HA172","Editar tipo de justificación","Editar","","/!/rhgf/tipo-permiso/@_src_context_item_id/","0","rhgf.tipo-permiso","DET059","1","action"
"HA173","Eliminar tipo de justificación","Eliminar","","javascript:InduxsoftCrudlModel.Delete(@_src_context_item_id);","0","rhgf.tipo-permiso","DET059","1","action"

