"id","title"
"DET047","Evento de acceso de empleado"
"DET056","Tipo de evento de acceso de empleado"
"DET046","Registro de asistencia de empleado"
"DET00A","Calendario laboral"
"DET00F","Categoría de empleado"
"DET017","Concepto de nómina"
"DET022","Empleado"
"DET025","Grupo de conceptos de nómina"
"DET032","Nómina"
"DET060","Unidad organizacional"
"DET044","Puesto de trabajo"
"DET069","Contrato"
"DET037","Periodo de asistencia"
"DET038","Permiso de inasistencia"
"DET04D","Tabla de cálculos fiscales para nóminas"
"DET055","Tipo de contrato de empleado"
"DET057","Tipo de incidencia de empleado"
"DET058","Tipo de nómina"
"DET059","Tipo de permiso de inasistencia de empleado"
"DET05E","Turno de trabajo"
"DET05F","Turno de trabajo extraordinario"
"DET064","Variable para cálculo de nóminas"
