"id","title","icon96x96","src","_blank","appid","cat"
"rhgf.nomina","Nóminas","/$/rhgf/img/icons/nominas-96x96.png","/!/rhgf/nomina/","0","nomina","0020"
"rhgf.variable","Variables y fórmulas","/$/rhgf/img/icons/var-formulas-96x96.png","/!/rhgf/variable/","0","variable","0090"
"rhgf.tipo-contrato","Tipo de contratos","/$/rhgf/img/icons/tcontratos-96x96.png","/!/rhgf/tipo-contrato/","0","tipo-contrato","0090"
"rhgf.concepto-nomina","Conceptos de cálculo Nóminas","/$/rhgf/img/icons/cnomina-96x96.png","/!/rhgf/concepto-nomina/","0","concepto-nomina","0090"
"rhgf.tablas","Tablas de cálculos fiscales","/$/rhgf/img/icons/tablas-96x96.png","/!/rhgf/tablas/","0","tablas","0090"
"rhgf.grupos-conceptos","Grupos de conceptos de Nómina","/$/rhgf/img/icons/gconceptos-96x96.png","/!/rhgf/grupos-conceptos/","0","grupos-conceptos","0090"
"rhgf.tipo-nomina","Tipos de nóminas","/$/rhgf/img/icons/tnomina-96x96.png","/!/rhgf/tipo-nomina/","0","tipo-nomina","0090"
"rhgf.empleados","Empleados","/$/rhgf/img/icons/empleados-96x96.png","/!/rhgf/empleados/","0","empleados","0090"
"rhgf.organizacion","Estructura organizacional","/$/rhgf/img/icons/organizacion-96x96.png","/!/rhgf/organizacion/","0","organizacion","0025"
"rhgf.calendario","Calendarios laborables","/$/rhgf/img/icons/rh_calendario-96x96.png","/!/rhgf/calendario/","0","calendario","0090"
"rhgf.turno","Turnos de trabajo","/$/rhgf/img/icons/rh_turno-96x96.png","/!/rhgf/turno/","0","turno","0025"
"rhgf.categoria-empleado","Categorías de empleados","/$/rhgf/img/icons/cat_empleado-96x96.png","/!/rhgf/categoria-empleado/","0","categoria-empleado","0090"
"rhgf.acceso-empleado","Accesos de empleados","/$/rhgf/img/icons/acceso_empleado-96x96.png","/!/rhgf/acceso-empleado/","0","acceso-empleado","0025"
"rhgf.acceso-evento","Tipos de eventos de acceso de empleados","/$/rhgf/img/icons/acceso_eventos-96x96.png","/!/rhgf/acceso-evento/","0","acceso-evento","0090"
"rhgf.turno-extra","Turnos extraordinarios","/$/rhgf/img/icons/turno_extra-96x96.png","/!/rhgf/turno-extra/","0","turno-extra","0025"
"rhgf.periodo-asistencia","Períodos de asistencias","/$/rhgf/img/icons/periodo_asistencia-96x96.png","/!/rhgf/periodo-asistencia/","0","periodo-asistencia","0025"
"rhgf.tipo-permiso","Tipos de Justificación","/$/rhgf/img/icons/tipo_permiso-96x96.png","/!/rhgf/tipo-permiso/","0","tipo-permiso","0090"
"rhgf.permisos","Justificación de inasistencias","/$/rhgf/img/icons/permiso-96x96.png","/!/rhgf/permiso/","0","permisos","0025"
"rhgf.tipo-incidencia","Tipos de incidencias","/$/rhgf/img/icons/tipo_incidencia-96x96.png","/!/rhgf/tipo-incidencia/","0","tipo-incidencia","0090"
