"pack_id","app_id","app_title","created","app_info"
"rhgf.nomina","nomina","Nóminas",2024-01-02T11:40:59,"Lista de Nóminas"
"rhgf.variables","variables","Variables y fórmulas",2024-01-02T11:40:59,"Variables y fórmulas"
"rhgf.tcontratos","tcontratos","Tipo de contratos",2024-01-02T11:40:59,"Tipos de contratos"
"rhgf.cnomina","cnomina","Conceptos de cálculo Nóminas",2024-01-02T11:40:59,"Conceptos de cálculo Nóminas"
"rhgf.tablas","tablas","Tablas de cálculos fiscales",2024-01-02T11:40:59,"Tablas de cálculos fiscales"
"rhgf.gconceptos","gconceptos","Grupos de conceptos",2024-01-02T11:40:59,"Grupos de conceptos"
"rhgf.tnomina","tnomina","Tipos de nóminas",2024-01-02T11:40:59,"Tipos de nóminas"
"rhgf","rhgf.empleados","Empleados","2024-01-06T23:59:59","Catálogo de empleados"
"rhgf","rhgf.organizacion","Organización","2024-01-08T23:59:59","Organización laboral"
"rh_calendario","calendario","Calendarios laborables",2024-01-18T02:10:59,"Calendarios laborables"
"rh_turno","turno","Turnos",2024-01-18T02:10:59,"Turnos"
"cat_empleado","cat_empleado","Categorías de empleados",2024-01-18T12:10:59,"Categorías de empleados"
"acceso_empleado","acceso_empleado","Accesos de empleados",2024-01-19T12:10:59,"Accesos de empleados"
"acceso_evento","acceso_evento","Accesos de eventos",2024-01-19T12:10:59,"Accesos de eventos"
