"sys_pk","sys_timestamp","sys_guid","sys_dtcreated","sys_user","sys_lastuser","sys_exported","sys_dtexported","sys_info","sys_recver","sys_deleted","sys_lock","uf_cve","uf_nombre","uf_descripcion"
"1","2016-01-01 12:00:00","ec976b2070494f7eaf79cfef087a1df7","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"002","BANAMEX","Banco Nacional de México, S.A., Institución de Banca Múltiple, Grupo Financiero Banamex"
"2","2016-01-01 12:00:00","9b88f3cded7843368a2ebc0c6b20b1cc","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"006","BANCOMEXT","Banco Nacional de Comercio Exterior, Sociedad Nacional de Crédito, Institución de Banca de Desarrollo"
"3","2016-01-01 12:00:00","f3e2242bbe53402b8a0e25d73d52714a","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"009","BANOBRAS","Banco Nacional de Obras y Servicios Públicos, Sociedad Nacional de Crédito, Institución de Banca de Desarrollo"
"4","2016-01-01 12:00:00","c6c7f47b79ee42aba293e285cec6a82b","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"012","BBVA BANCOMER","BBVA Bancomer, S.A., Institución de Banca Múltiple, Grupo Financiero BBVA Bancomer"
"5","2016-01-01 12:00:00","1aabcc399a584699b684b16345d0fe54","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"014","SANTANDER","Banco Santander (México), S.A., Institución de Banca Múltiple, Grupo Financiero Santander"
"6","2016-01-01 12:00:00","4c11e652f84947a681c5bf4aeb1b67bd","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"019","BANJERCITO","Banco Nacional del Ejército, Fuerza Aérea y Armada, Sociedad Nacional de Crédito, Institución de Banca de Desarrollo"
"7","2016-01-01 12:00:00","30c9cc668f7c42b18127ab221218c52a","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"021","HSBC","HSBC México, S.A., institución De Banca Múltiple, Grupo Financiero HSBC"
"8","2016-01-01 12:00:00","0437e56fc07942bda1ba7cc59e6b5862","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"030","BAJIO","Banco del Bajío, S.A., Institución de Banca Múltiple"
"9","2016-01-01 12:00:00","e3d6d012c8b04b589f25a58e03013f73","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"032","IXE","IXE Banco, S.A., Institución de Banca Múltiple, IXE Grupo Financiero"
"10","2016-01-01 12:00:00","a1229bebbb914df39ac9e628dd518cc8","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"036","INBURSA","Banco Inbursa, S.A., Institución de Banca Múltiple, Grupo Financiero Inbursa"
"11","2016-01-01 12:00:00","2896577deec647b2980941d680284b2a","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"037","INTERACCIONES","Banco Interacciones, S.A., Institución de Banca Múltiple"
"12","2016-01-01 12:00:00","35debda0c0434348ac5b52269c87c12e","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"042","MIFEL","Banca Mifel, S.A., Institución de Banca Múltiple, Grupo Financiero Mifel"
"13","2016-01-01 12:00:00","e1446fd77e0b4332ab9c90881826024e","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"044","SCOTIABANK","Scotiabank Inverlat, S.A."
"14","2016-01-01 12:00:00","8b5ae352177042438aa02b92c9b9ae22","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"058","BANREGIO","Banco Regional de Monterrey, S.A., Institución de Banca Múltiple, Banregio Grupo Financiero"
"15","2016-01-01 12:00:00","f48ae6d2937a46ce948be49a29a40222","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"059","INVEX","Banco Invex, S.A., Institución de Banca Múltiple, Invex Grupo Financiero"
"16","2016-01-01 12:00:00","d897f0d627054afe9e66f9bd62b5c285","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"060","BANSI","Bansi, S.A., Institución de Banca Múltiple"
"17","2016-01-01 12:00:00","3b36e43e8134422386de1466ad2e0a56","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"062","AFIRME","Banca Afirme, S.A., Institución de Banca Múltiple"
"18","2016-01-01 12:00:00","9955979abd9443b2a0816a3682c25726","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"072","BANORTE","Banco Mercantil del Norte, S.A., Institución de Banca Múltiple, Grupo Financiero Banorte"
"19","2016-01-01 12:00:00","1acbc2576a9545c1b1746a3ea2ffb38f","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"102","THE ROYAL BANK","The Royal Bank of Scotland México, S.A., Institución de Banca Múltiple"
"20","2016-01-01 12:00:00","4f40d0c1074e4cb79db6907f76fdfa0a","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"103","AMERICAN EXPRESS","American Express Bank (México), S.A., Institución de Banca Múltiple"
"21","2016-01-01 12:00:00","074748657cea487b92682aa80630b6d2","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"106","BAMSA","Bank of America México, S.A., Institución de Banca Múltiple, Grupo Financiero Bank of America"
"22","2016-01-01 12:00:00","eebc5fddf40c40e8b96578a4961d2722","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"108","TOKYO","Bank of Tokyo-Mitsubishi UFJ (México), S.A."
"23","2016-01-01 12:00:00","2afbcdb2fd4847c2b85856f4208cd4ce","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"110","JP MORGAN","Banco J.P. Morgan, S.A., Institución de Banca Múltiple, J.P. Morgan Grupo Financiero"
"24","2016-01-01 12:00:00","2b6729b6dea243a3b88302fe83ec0b6a","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"112","BMONEX","Banco Monex, S.A., Institución de Banca Múltiple"
"25","2016-01-01 12:00:00","aeee58cb5acc40b09dd099ad10c8e9ed","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"113","VE POR MAS","Banco Ve Por Mas, S.A. Institución de Banca Múltiple"
"26","2016-01-01 12:00:00","208792e4bad54e589d712ecc4144269b","2016-01-01 12:00:00",\N,\N,\N,"2016-01-01 12:00:00",\N,\N,\N,\N,"116","ING","ING Bank (México), S.A., Institución de Banca Múltiple, ING Grupo Financiero"
